orderdate,ordernumber,productName,productLine,country,city,sales_value,cost_of_sales,net_profit
2004-01-12,10210,"1960 BSA Gold Star DBD34",Motorcycles,Japan,Kita-ku,1896.60,1119.60,777.00
2004-01-12,10210,"Corsair F4U ( Bird Cage)",Planes,Japan,Kita-ku,1642.56,850.86,791.70
2004-01-12,10210,"1900s Vintage Tri-Plane",Planes,Japan,Kita-ku,2724.00,1449.20,1274.80
2004-01-12,10210,"1997 BMW F650 ST",Motorcycles,Japan,Kita-ku,3905.86,3078.32,827.54
2004-01-12,10210,"1928 Ford Phaeton Deluxe","Vintage Cars",Japan,Kita-ku,2226.90,1287.78,939.12
2004-01-12,10210,"1930 Buick Marquette Phaeton","Vintage Cars",Japan,Kita-ku,1857.60,1163.58,694.02
2004-01-12,10210,"American Airlines: B767-300",Planes,Japan,Kita-ku,1841.49,1074.15,767.34
2004-01-12,10210,"America West Airlines B757-200",Planes,Japan,Kita-ku,2437.24,1788.80,648.44
2004-01-12,10210,"ATA: B757-300",Planes,Japan,Kita-ku,2462.00,1483.25,978.75
2004-01-12,10210,"F/A 18 Hornet 1/72",Planes,Japan,Kita-ku,1984.00,1686.40,297.60
2004-01-12,10210,"American Airlines: MD-11S",Planes,Japan,Kita-ku,2549.40,1523.34,1026.06
2004-01-15,10211,"1969 Harley Davidson Ultimate Chopper",Motorcycles,France,Paris,3727.72,2001.21,1726.51
2004-01-15,10211,"1968 Ford Mustang","Classic Cars",France,Paris,7020.02,3908.94,3111.08
2004-01-15,10211,"2002 Suzuki XREO",Motorcycles,France,Paris,4554.72,2385.72,2169.00
2004-01-15,10211,"1970 Plymouth Hemi Cuda","Classic Cars",France,Paris,2234.40,893.76,1340.64
2004-01-15,10211,"1969 Dodge Super Bee","Classic Cars",France,Paris,2560.95,1716.75,844.20
2004-01-15,10211,"1976 Ford Gran Torino","Classic Cars",France,Paris,3868.76,2057.72,1811.04
2004-01-15,10211,"1957 Vespa GS150",Motorcycles,France,Paris,2773.80,1515.70,1258.10
2004-01-15,10211,"1957 Corvette Convertible","Classic Cars",France,Paris,6100.80,2867.13,3233.67
2004-01-15,10211,"1997 BMW R 1100 S",Motorcycles,France,Paris,2733.00,1521.50,1211.50
2004-01-15,10211,"1982 Ducati 900 Monster",Motorcycles,France,Paris,1308.93,989.10,319.83
2004-01-15,10211,"1971 Alpine Renault 1600s","Classic Cars",France,Paris,2527.68,1851.84,675.84
2004-01-15,10211,"1961 Chevrolet Impala","Classic Cars",France,Paris,1778.48,711.26,1067.22
2004-01-15,10211,"1982 Ducati 996 R",Motorcycles,France,Paris,1633.03,989.74,643.29
2004-01-15,10211,"1974 Ducati 350 Mk3 Desmo",Motorcycles,France,Paris,3511.67,2076.81,1434.86
2004-01-15,10211,"2002 Yamaha YZR M1",Motorcycles,France,Paris,2831.20,1366.80,1464.40
2004-01-16,10212,"1968 Dodge Charger","Classic Cars",Spain,Madrid,3892.98,2931.24,961.74
2004-01-16,10212,"1969 Dodge Charger","Classic Cars",Spain,Madrid,3648.15,1938.09,1710.06
2004-01-16,10212,"1993 Mazda RX-7","Classic Cars",Spain,Madrid,3406.92,2421.79,985.13
2004-01-16,10212,"1965 Aston Martin DB5","Classic Cars",Spain,Madrid,4019.26,2506.48,1512.78
2004-01-16,10212,"1948 Porsche 356-A Roadster","Classic Cars",Spain,Madrid,1293.60,1078.00,215.60
2004-01-16,10212,"1995 Honda Civic","Classic Cars",Spain,Madrid,5482.52,3849.49,1633.03
2004-01-16,10212,"1999 Indy 500 Monte Carlo SS","Classic Cars",Spain,Madrid,4699.20,2270.40,2428.80
2004-01-16,10212,"1992 Ferrari 360 Spider red","Classic Cars",Spain,Madrid,6231.60,3116.00,3115.60
2004-01-16,10212,"1948 Porsche Type 356 Roadster","Classic Cars",Spain,Madrid,5213.25,2797.20,2416.05
2004-01-16,10212,"1970 Chevy Chevelle SS 454","Classic Cars",Spain,Madrid,2530.93,2018.84,512.09
2004-01-16,10212,"1966 Shelby Cobra 427 S/C","Classic Cars",Spain,Madrid,1947.15,1313.10,634.05
2004-01-16,10212,"1949 Jaguar XK 120","Classic Cars",Spain,Madrid,3680.10,2126.25,1553.85
2004-01-16,10212,"1982 Lamborghini Diablo","Classic Cars",Spain,Madrid,1270.92,552.16,718.76
2004-01-16,10212,"1969 Chevrolet Camaro Z28","Classic Cars",Spain,Madrid,2103.57,1363.77,739.80
2004-01-16,10212,"2002 Chevy Corvette","Classic Cars",Spain,Madrid,4630.36,2857.06,1773.30
2004-01-16,10212,"1956 Porsche 356A Coupe","Classic Cars",Spain,Madrid,5780.04,4816.70,963.34
2004-01-22,10213,"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",UK,London,3217.46,1643.88,1573.58
2004-01-22,10213,"1957 Ford Thunderbird","Classic Cars",UK,London,1461.00,855.25,605.75
2004-01-22,10213,"1952 Citroen-15CV","Classic Cars",UK,London,2631.96,1966.14,665.82
2004-01-26,10214,"1917 Grand Touring Sedan","Vintage Cars",Spain,Madrid,4998.00,2601.00,2397.00
2004-01-26,10214,"1911 Ford Town Car","Vintage Cars",Spain,Madrid,1118.88,699.30,419.58
2004-01-26,10214,"1932 Model A Ford J-Coupe","Vintage Cars",Spain,Madrid,3398.22,1578.96,1819.26
2004-01-26,10214,"1928 Mercedes-Benz SSK","Vintage Cars",Spain,Madrid,8353.00,3628.00,4725.00
2004-01-26,10214,"1939 Chevrolet Deluxe Coupe","Vintage Cars",Spain,Madrid,643.80,451.40,192.40
2004-01-26,10214,"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",Spain,Madrid,1953.63,1009.89,943.74
2004-01-26,10214,"1936 Mercedes Benz 500k Roadster","Vintage Cars",Spain,Madrid,1697.08,957.00,740.08
2004-01-29,10215,"1952 Alpine Renault 1300","Classic Cars",USA,Burbank,7200.55,3450.30,3750.25
2004-01-29,10215,"1940 Ford Pickup Truck","Trucks and Buses",USA,Burbank,4615.64,2683.18,1932.46
2004-01-29,10215,"1937 Lincoln Berline","Vintage Cars",USA,Burbank,2496.69,1636.74,859.95
2004-01-29,10215,"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars",USA,Burbank,1779.03,800.58,978.45
2004-01-29,10215,"1913 Ford Model T Speedster","Vintage Cars",USA,Burbank,4765.74,2978.22,1787.52
2004-01-29,10215,"1934 Ford V8 Coupe","Vintage Cars",USA,Burbank,1742.51,1064.85,677.66
2004-01-29,10215,"18th Century Vintage Horse Carriage","Vintage Cars",USA,Burbank,4361.49,2976.26,1385.23
2004-01-29,10215,"1917 Maxwell Touring Car","Vintage Cars",USA,Burbank,3457.53,2359.14,1098.39
2004-01-29,10215,"1939 Cadillac Limousine","Vintage Cars",USA,Burbank,1966.96,1064.44,902.52
2004-01-29,10215,"1936 Chrysler Airflow","Vintage Cars",USA,Burbank,3684.33,2240.94,1443.39
2004-02-02,10216,"1958 Setra Bus","Trucks and Buses",France,Versailles,5759.42,3349.70,2409.72
2004-02-04,10217,"1962 LanciaA Delta 16V","Classic Cars",Singapore,Singapore,6382.56,4964.16,1418.40
2004-02-04,10217,"1926 Ford Fire Engine","Trucks and Buses",Singapore,Singapore,2041.90,872.20,1169.70
2004-02-04,10217,"1940s Ford truck","Trucks and Buses",Singapore,Singapore,4509.08,3220.88,1288.20
2004-02-04,10217,"1962 Volkswagen Microbus","Trucks and Buses",Singapore,Singapore,2898.28,1717.52,1180.76
2004-02-04,10217,"1980’s GM Manhattan Express","Trucks and Buses",Singapore,Singapore,1658.37,1132.53,525.84
2004-02-04,10217,"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses",Singapore,Singapore,2193.36,1310.79,882.57
2004-02-04,10217,"1982 Camaro Z28","Classic Cars",Singapore,Singapore,2790.62,1442.43,1348.19
2004-02-09,10218,"1964 Mercedes Tour Bus","Trucks and Buses",Italy,Milan,2430.12,1646.92,783.20
2004-02-09,10218,"1992 Ferrari 360 Spider red","Classic Cars",Italy,Milan,5181.94,2648.60,2533.34
2004-02-10,10219,"1957 Chevy Pickup","Trucks and Buses",USA,Brisbane,4550.40,2673.60,1876.80
2004-02-10,10219,"1998 Chrysler Plymouth Prowler","Classic Cars",USA,Brisbane,5702.66,4364.93,1337.73
2004-02-10,10219,"1958 Chevy Corvette Limited Edition","Classic Cars",USA,Brisbane,653.52,334.11,319.41
2004-02-10,10219,"1954 Greyhound Scenicruiser","Trucks and Buses",USA,Brisbane,1666.70,909.30,757.40
2004-02-12,10220,"2001 Ferrari Enzo","Classic Cars",Ireland,Dublin,6051.20,3058.88,2992.32
2004-02-12,10220,"1969 Corvair Monza","Classic Cars",Ireland,Dublin,4532.40,2674.20,1858.20
2004-02-12,10220,"1969 Ford Falcon","Classic Cars",Ireland,Dublin,4484.70,2242.35,2242.35
2004-02-12,10220,"1970 Triumph Spitfire","Classic Cars",Ireland,Dublin,6319.50,4596.00,1723.50
2004-02-12,10220,"1970 Dodge Coronet","Classic Cars",Ireland,Dublin,1262.30,841.62,420.68
2004-02-12,10220,"1992 Porsche Cayenne Turbo Silver","Classic Cars",Ireland,Dublin,3763.64,2581.86,1181.78
2004-02-12,10220,"1950's Chicago Surface Lines Streetcar",Trains,Ireland,Dublin,994.20,534.40,459.80
2004-02-12,10220,"Diamond T620 Semi-Skirted Tanker","Trucks and Buses",Ireland,Dublin,3426.20,2526.73,899.47
2004-02-12,10220,"1962 City of Detroit Streetcar",Trains,Ireland,Dublin,1704.60,1124.70,579.90
2004-02-18,10221,"1903 Ford Model A","Vintage Cars",Belgium,Bruxelles,4417.38,2253.90,2163.48
2004-02-18,10221,"Collectable Wooden Train",Trains,Belgium,Bruxelles,2064.25,1553.88,510.37
2004-02-18,10221,"1904 Buick Runabout","Vintage Cars",Belgium,Bruxelles,3286.14,2053.74,1232.40
2004-02-18,10221,"18th century schooner",Ships,Belgium,Bruxelles,5539.94,4034.66,1505.28
2004-02-18,10221,"The Mayflower",Ships,Belgium,Bruxelles,1593.67,995.90,597.77
2004-02-19,10222,"1972 Alfa Romeo GTA","Classic Cars",USA,"San Diego",6530.72,4198.32,2332.40
2004-02-19,10222,"1980s Black Hawk Helicopter",Planes,USA,"San Diego",6722.31,3786.23,2936.08
2004-02-19,10222,"1999 Yamaha Speed Boat",Ships,USA,"San Diego",3877.86,2528.89,1348.97
2004-02-19,10222,"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",USA,"San Diego",4001.85,2906.10,1095.75
2004-02-19,10222,"1900s Vintage Bi-Plane",Planes,USA,"San Diego",1819.52,1096.00,723.52
2004-02-19,10222,"1912 Ford Model T Delivery Wagon","Vintage Cars",USA,"San Diego",3494.45,2204.77,1289.68
2004-02-19,10222,"1937 Horch 930V Limousine","Vintage Cars",USA,"San Diego",2629.45,1130.90,1498.55
2004-02-19,10222,"1940 Ford Delivery Sedan","Vintage Cars",USA,"San Diego",3587.54,2237.44,1350.10
2004-02-19,10222,"Corsair F4U ( Bird Cage)",Planes,USA,"San Diego",2652.96,1408.32,1244.64
2004-02-19,10222,"The Schooner Bluenose",Ships,USA,"San Diego",1818.77,1054.00,764.77
2004-02-19,10222,"HMS Bounty",Ships,USA,"San Diego",2094.56,1035.58,1058.98
2004-02-19,10222,"America West Airlines B757-200",Planes,USA,"San Diego",3357.75,2545.60,812.15
2004-02-19,10222,"The USS Constitution Ship",Ships,USA,"San Diego",2498.04,1222.92,1275.12
2004-02-19,10222,"The Titanic",Ships,USA,"San Diego",3197.32,1941.42,1255.90
2004-02-19,10222,"The Queen Mary",Ships,USA,"San Diego",2524.33,1662.53,861.80
2004-02-19,10222,"American Airlines: MD-11S",Planes,USA,"San Diego",2865.09,1559.61,1305.48
2004-02-19,10222,"Boeing X-32A JSF",Planes,USA,"San Diego",1400.89,1015.87,385.02
2004-02-19,10222,"Pont Yacht",Ships,USA,"San Diego",1749.24,1198.80,550.44
2004-02-20,10223,"1969 Harley Davidson Ultimate Chopper",Motorcycles,Australia,Melbourne,2974.43,1805.97,1168.46
2004-02-20,10223,"1996 Moto Guzzi 1100i",Motorcycles,Australia,Melbourne,5198.67,3242.53,1956.14
2004-02-20,10223,"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,Australia,Melbourne,9299.71,4459.98,4839.73
2004-02-20,10223,"P-51-D Mustang",Planes,Australia,Melbourne,3176.26,2303.00,873.26
2004-02-20,10223,"1936 Harley Davidson El Knucklehead",Motorcycles,Australia,Melbourne,1645.00,678.44,966.56
2004-02-20,10223,"1997 BMW R 1100 S",Motorcycles,Australia,Melbourne,3353.92,1947.52,1406.40
2004-02-20,10223,"1928 British Royal Navy Airplane",Planes,Australia,Melbourne,2976.36,2269.16,707.20
2004-02-20,10223,"1960 BSA Gold Star DBD34",Motorcycles,Australia,Melbourne,2315.72,1418.16,897.56
2004-02-20,10223,"1900s Vintage Tri-Plane",Planes,Australia,Melbourne,1566.30,833.29,733.01
2004-02-20,10223,"1997 BMW F650 ST",Motorcycles,Australia,Melbourne,1908.90,1405.32,503.58
2004-02-20,10223,"1928 Ford Phaeton Deluxe","Vintage Cars",Australia,Melbourne,1334.60,660.40,674.20
2004-02-20,10223,"1930 Buick Marquette Phaeton","Vintage Cars",Australia,Melbourne,1681.82,1109.46,572.36
2004-02-20,10223,"American Airlines: B767-300",Planes,Australia,Melbourne,2100.75,1278.75,822.00
2004-02-20,10223,"ATA: B757-300",Planes,Australia,Melbourne,3303.10,1720.57,1582.53
2004-02-20,10223,"F/A 18 Hornet 1/72",Planes,Australia,Melbourne,2059.20,1414.40,644.80
2004-02-21,10224,"2002 Suzuki XREO",Motorcycles,France,Lille,6087.94,2849.61,3238.33
2004-02-21,10224,"1957 Vespa GS150",Motorcycles,France,Lille,2173.60,1252.10,921.50
2004-02-21,10224,"1982 Ducati 900 Monster",Motorcycles,France,Lille,2229.62,1742.70,486.92
2004-02-21,10224,"1982 Ducati 996 R",Motorcycles,France,Lille,1591.43,1038.02,553.41
2004-02-21,10224,"1974 Ducati 350 Mk3 Desmo",Motorcycles,France,Lille,2847.30,1683.90,1163.40
2004-02-21,10224,"2002 Yamaha YZR M1",Motorcycles,France,Lille,4068.00,1708.50,2359.50
2004-02-22,10225,"1968 Ford Mustang","Classic Cars",Switzerland,Genève,4255.20,2574.18,1681.02
2004-02-22,10225,"1968 Dodge Charger","Classic Cars",Switzerland,Genève,2525.00,1879.00,646.00
2004-02-22,10225,"1970 Plymouth Hemi Cuda","Classic Cars",Switzerland,Genève,2391.68,1181.04,1210.64
2004-02-22,10225,"1969 Dodge Charger","Classic Cars",Switzerland,Genève,2103.99,1233.33,870.66
2004-02-22,10225,"1993 Mazda RX-7","Classic Cars",Switzerland,Genève,3713.92,2672.32,1041.60
2004-02-22,10225,"1948 Porsche 356-A Roadster","Classic Cars",Switzerland,Genève,3365.67,2533.30,832.37
2004-02-22,10225,"1992 Ferrari 360 Spider red","Classic Cars",Switzerland,Genève,6990.51,3349.70,3640.81
2004-02-22,10225,"1969 Dodge Super Bee","Classic Cars",Switzerland,Genève,2588.52,1814.85,773.67
2004-02-22,10225,"1976 Ford Gran Torino","Classic Cars",Switzerland,Genève,3214.62,1984.23,1230.39
2004-02-22,10225,"1957 Corvette Convertible","Classic Cars",Switzerland,Genève,4739.35,2447.55,2291.80
2004-02-22,10225,"1982 Lamborghini Diablo","Classic Cars",Switzerland,Genève,1459.08,682.08,777.00
2004-02-22,10225,"1971 Alpine Renault 1600s","Classic Cars",Switzerland,Genève,1234.32,925.92,308.40
2004-02-22,10225,"1956 Porsche 356A Coupe","Classic Cars",Switzerland,Genève,5224.00,3932.00,1292.00
2004-02-22,10225,"1961 Chevrolet Impala","Classic Cars",Switzerland,Genève,3570.06,1487.18,2082.88
2004-02-26,10226,"1965 Aston Martin DB5","Classic Cars",USA,"San Diego",4113.88,2506.48,1607.40
2004-02-26,10226,"1995 Honda Civic","Classic Cars",USA,"San Diego",3106.80,2253.36,853.44
2004-02-26,10226,"1999 Indy 500 Monte Carlo SS","Classic Cars",USA,"San Diego",3009.60,1362.24,1647.36
2004-02-26,10226,"1948 Porsche Type 356 Roadster","Classic Cars",USA,"San Diego",5653.86,2859.36,2794.50
2004-02-26,10226,"1970 Chevy Chevelle SS 454","Classic Cars",USA,"San Diego",1373.61,1034.04,339.57
2004-02-26,10226,"1966 Shelby Cobra 427 S/C","Classic Cars",USA,"San Diego",1720.44,1050.48,669.96
2004-02-26,10226,"2002 Chevy Corvette","Classic Cars",USA,"San Diego",4574.40,2981.28,1593.12
2004-03-02,10227,"1937 Lincoln Berline","Vintage Cars",France,Lyon,2131.75,1515.50,616.25
2004-03-02,10227,"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars",France,Lyon,1554.34,752.06,802.28
2004-03-02,10227,"1917 Grand Touring Sedan","Vintage Cars",France,Lyon,3536.00,2254.20,1281.80
2004-03-02,10227,"1911 Ford Town Car","Vintage Cars",France,Lyon,1678.04,932.40,745.64
2004-03-02,10227,"1932 Model A Ford J-Coupe","Vintage Cars",France,Lyon,5438.58,2690.08,2748.50
2004-03-02,10227,"1928 Mercedes-Benz SSK","Vintage Cars",France,Lyon,4257.49,2104.24,2153.25
2004-03-02,10227,"1917 Maxwell Touring Car","Vintage Cars",France,Lyon,3273.93,1898.82,1375.11
2004-03-02,10227,"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",France,Lyon,2972.62,1470.84,1501.78
2004-03-02,10227,"1957 Ford Thunderbird","Classic Cars",France,Lyon,2610.72,1265.77,1344.95
2004-03-02,10227,"1939 Chevrolet Deluxe Coupe","Vintage Cars",France,Lyon,1143.24,947.94,195.30
2004-03-02,10227,"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",France,Lyon,946.08,494.64,451.44
2004-03-02,10227,"1949 Jaguar XK 120","Classic Cars",France,Lyon,3971.97,2220.75,1751.22
2004-03-02,10227,"1952 Citroen-15CV","Classic Cars",France,Lyon,3371.61,2403.06,968.55
2004-03-02,10227,"1969 Chevrolet Camaro Z28","Classic Cars",France,Lyon,3150.40,2020.40,1130.00
2004-03-02,10227,"1936 Mercedes Benz 500k Roadster","Vintage Cars",France,Lyon,941.76,587.25,354.51
2004-03-10,10228,"1952 Alpine Renault 1300","Classic Cars",USA,Cambridge,6214.70,2858.82,3355.88
2004-03-10,10228,"1940 Ford Pickup Truck","Trucks and Buses",USA,Cambridge,3210.88,1866.56,1344.32
2004-03-10,10228,"1913 Ford Model T Speedster","Vintage Cars",USA,Cambridge,2431.44,1458.72,972.72
2004-03-10,10228,"1934 Ford V8 Coupe","Vintage Cars",USA,Cambridge,2585.70,1545.75,1039.95
2004-03-10,10228,"18th Century Vintage Horse Carriage","Vintage Cars",USA,Cambridge,3116.43,1882.94,1233.49
2004-03-10,10228,"1936 Chrysler Airflow","Vintage Cars",USA,Cambridge,2796.09,1896.18,899.91
2004-03-11,10229,"1962 LanciaA Delta 16V","Classic Cars",USA,"San Rafael",6944.00,5171.00,1773.00
2004-03-11,10229,"1958 Setra Bus","Trucks and Buses",USA,"San Rafael",2767.50,1947.50,820.00
2004-03-11,10229,"1957 Chevy Pickup","Trucks and Buses",USA,"San Rafael",3455.64,2005.20,1450.44
2004-03-11,10229,"1964 Mercedes Tour Bus","Trucks and Buses",USA,"San Rafael",2712.32,1946.36,765.96
2004-03-11,10229,"1926 Ford Fire Engine","Trucks and Buses",USA,"San Rafael",1497.44,697.76,799.68
2004-03-11,10229,"1992 Ferrari 360 Spider red","Classic Cars",USA,"San Rafael",3464.78,1713.80,1750.98
2004-03-11,10229,"1940s Ford truck","Trucks and Buses",USA,"San Rafael",4914.67,3475.16,1439.51
2004-03-11,10229,"1939 Cadillac Limousine","Vintage Cars",USA,"San Rafael",1707.03,902.46,804.57
2004-03-11,10229,"1962 Volkswagen Microbus","Trucks and Buses",USA,"San Rafael",5520.48,2944.32,2576.16
2004-03-11,10229,"1958 Chevy Corvette Limited Edition","Classic Cars",USA,"San Rafael",1143.45,525.03,618.42
2004-03-11,10229,"1980’s GM Manhattan Express","Trucks and Buses",USA,"San Rafael",1974.25,1348.25,626.00
2004-03-11,10229,"1954 Greyhound Scenicruiser","Trucks and Buses",USA,"San Rafael",1144.94,597.54,547.40
2004-03-11,10229,"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses",USA,"San Rafael",1570.80,1008.30,562.50
2004-03-11,10229,"1982 Camaro Z28","Classic Cars",USA,"San Rafael",4552.00,2326.50,2225.50
2004-03-15,10230,"1969 Corvair Monza","Classic Cars",Germany,Frankfurt,5522.06,3833.02,1689.04
2004-03-15,10230,"1998 Chrysler Plymouth Prowler","Classic Cars",Germany,Frankfurt,7541.59,4973.99,2567.60
2004-03-15,10230,"1970 Triumph Spitfire","Classic Cars",Germany,Frankfurt,5971.56,3860.64,2110.92
2004-03-15,10230,"1970 Dodge Coronet","Classic Cars",Germany,Frankfurt,1706.40,1165.32,541.08
2004-03-15,10230,"1992 Porsche Cayenne Turbo Silver","Classic Cars",Germany,Frankfurt,4471.20,3140.10,1331.10
2004-03-15,10230,"1950's Chicago Surface Lines Streetcar",Trains,Germany,Frankfurt,2715.38,1229.12,1486.26
2004-03-15,10230,"Diamond T620 Semi-Skirted Tanker","Trucks and Buses",Germany,Frankfurt,3423.80,2321.86,1101.94
2004-03-15,10230,"1962 City of Detroit Streetcar",Trains,Germany,Frankfurt,2468.63,1612.07,856.56
2004-03-19,10231,"2001 Ferrari Enzo","Classic Cars",Spain,Madrid,8116.50,4014.78,4101.72
2004-03-19,10231,"1969 Ford Falcon","Classic Cars",Spain,Madrid,7206.43,4069.45,3136.98
2004-03-20,10232,"1903 Ford Model A","Vintage Cars",UK,Cowes,2944.92,1502.60,1442.32
2004-03-20,10232,"Collectable Wooden Train",Trains,UK,Cowes,4694.88,3242.88,1452.00
2004-03-20,10232,"1904 Buick Runabout","Vintage Cars",UK,Cowes,1796.76,1211.18,585.58
2004-03-20,10232,"18th century schooner",Ships,UK,Cowes,5200.76,3787.64,1413.12
2004-03-20,10232,"The Mayflower",Ships,UK,Cowes,2206.88,1125.80,1081.08
2004-03-20,10232,"The Titanic",Ships,UK,Cowes,4135.20,2452.32,1682.88
2004-03-20,10232,"The Queen Mary",Ships,UK,Cowes,2850.05,1877.05,973.00
2004-03-20,10232,"Pont Yacht",Ships,UK,Cowes,1166.16,799.20,366.96
2004-03-29,10233,"1912 Ford Model T Delivery Wagon","Vintage Cars",USA,Newark,2832.40,1876.40,956.00
2004-03-29,10233,"The Schooner Bluenose",Ships,USA,Newark,2376.00,1224.00,1152.00
2004-03-29,10233,"The USS Constitution Ship",Ships,USA,Newark,1970.26,985.13,985.13
2004-03-30,10234,"1972 Alfa Romeo GTA","Classic Cars","New Zealand",Wellington,5679.36,4112.64,1566.72
2004-03-30,10234,"1980s Black Hawk Helicopter",Planes,"New Zealand",Wellington,7332.50,3863.50,3469.00
2004-03-30,10234,"1999 Yamaha Speed Boat",Ships,"New Zealand",Wellington,4046.40,2477.28,1569.12
2004-03-30,10234,"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars","New Zealand",Wellington,3344.25,2518.62,825.63
2004-03-30,10234,"1900s Vintage Bi-Plane",Planes,"New Zealand",Wellington,2954.16,1507.00,1447.16
2004-03-30,10234,"1937 Horch 930V Limousine","Vintage Cars","New Zealand",Wellington,1627.25,657.50,969.75
2004-03-30,10234,"1940 Ford Delivery Sedan","Vintage Cars","New Zealand",Wellington,2443.73,1507.84,935.89
2004-03-30,10234,"HMS Bounty",Ships,"New Zealand",Wellington,2415.12,1155.07,1260.05
2004-03-30,10234,"Boeing X-32A JSF",Planes,"New Zealand",Wellington,1827.60,1310.80,516.80
2004-04-02,10235,"P-51-D Mustang",Planes,Canada,Tsawassen,1966.80,1176.00,790.80
2004-04-02,10235,"1928 British Royal Navy Airplane",Planes,Canada,Tsawassen,2063.56,1535.02,528.54
2004-04-02,10235,"Corsair F4U ( Bird Cage)",Planes,Canada,Tsawassen,1823.91,968.22,855.69
2004-04-02,10235,"1900s Vintage Tri-Plane",Planes,Canada,Tsawassen,2521.20,1449.20,1072.00
2004-04-02,10235,"1997 BMW F650 ST",Motorcycles,Canada,Tsawassen,3726.90,2743.72,983.18
2004-04-02,10235,"1928 Ford Phaeton Deluxe","Vintage Cars",Canada,Tsawassen,2268.82,1122.68,1146.14
2004-04-02,10235,"1930 Buick Marquette Phaeton","Vintage Cars",Canada,Tsawassen,1520.69,1109.46,411.23
2004-04-02,10235,"American Airlines: B767-300",Planes,Canada,Tsawassen,2215.00,1278.75,936.25
